Date,Note,Body Weight (KG),Body Weight (LB),Exercise 1,Weight (KG),Weight (LB),Set 1,Set 2,Set 3,Set 4,Set 5,Exercise 2,Weight (KG),Weight (LB),Set 1,Set 2,Set 3,Set 4,Set 5,Exercise 3,Weight (KG),Weight (LB),Set 1,Set 2,Set 3,Set 4,Set 5,Exercise 4,Weight (KG),Weight (LB),Set 1,Set 2,Set 3,Set 4,Set 5,Exercise 5,Weight (KG),Weight (LB),Set 1,Set 2,Set 3,
08/11/18,,82,,Squat,50,,5,5,5,5,5,Bench Press,47.5,,5,5,5,5,5,Barbell Row,40,,5,5,5,5,5,Face pulls,20,,10,10,10,,,,,,,
08/16/18,,82,,Squat,52.5,,5,5,5,5,5,Bench Press,50,,5,5,3,4,2,Barbell Row,42.5,,5,5,5,5,5,Face pulls,20,,10,10,10,,,,,,,
08/20/18,,82,,Squat,55,,,,,,,Overhead Press,30,,5,5,5,5,5,Deadlift,65,,,,,,,Face pulls,20,,10,10,10,,,,,,,
08/27/18,,82,,Squat,50,,5,5,5,5,5,Bench Press,50,,5,5,5,5,5,Barbell Row,45,,5,5,5,5,5,Face pulls,20,,10,10,10,,,,,,,
08/29/18,,80.8,,Squat,52.5,,5,5,5,5,5,Overhead Press,32.5,,5,5,5,5,5,Deadlift,62.5,,5,,,,,Face pulls,20,,15,15,15,,,,,,,
08/31/18,,80.8,,Squat,55,,5,5,5,5,5,Bench Press,52.5,,3,2,3,3,2,Barbell Row,47.5,,5,5,5,5,4,Dips,0,,10,10,10,,,Face pulls,20,,15,15,15,
09/03/18,,80.8,,Squat,57.5,,5,5,5,5,5,Overhead Press,35,,5,5,5,3,5,Deadlift,72.5,,5,,,,,Chinups,0,,3,2,2,,,Face pulls,20,,15,15,15,
09/05/18,,80.8,,Squat,60,,5,5,5,5,5,Bench Press,52.5,,4,3,3,3,1,Barbell Row,40,,5,5,5,5,4,Dips,0,,,,,,,Face pulls,20,,15,15,15,
09/10/18,,80.8,,Squat,62.5,,5,5,5,5,5,Overhead Press,35,,5,5,4,5,4,Deadlift,77.5,,5,,,,,Face pulls,20,,15,15,15,,,,,,,
09/12/18,,82,,Squat,65,,5,5,5,5,5,Bench Press,52.5,,5,3,2,4,3,Barbell Row,30,,5,5,5,5,5,Dips,0,,10,10,10,,,Face pulls,20,,15,15,15,
09/14/18,,82,,Squat,67.5,,5,5,4,5,5,Overhead Press,35,,5,5,4,5,3,Deadlift,82.5,,5,,,,,Chinups,0,,3,3,3,,,Face pulls,20,,15,15,15,
09/18/18,,82,,Squat,67.5,,5,5,5,5,5,Bench Press,45,,5,5,5,5,5,Barbell Row,32.5,,5,5,5,5,5,Dips,0,,8,10,9,,,Face pulls,20,,15,15,15,
09/20/18,,82,,Squat,70,,5,5,5,5,4,Overhead Press,30,,5,5,5,5,5,Deadlift,87.5,,5,,,,,Chinups,0,,3,3,3,,,Face pulls,20,,15,15,15,
09/24/18,,82,,Squat,70,,5,5,5,5,5,Bench Press,47.5,,5,5,5,5,5,Barbell Row,35,,5,5,5,5,5,Dips,0,,10,10,4,,,Face pulls,20,,15,15,15,
